a,b,Y
68.8202,-61.4957,-129.423
-50.2443,92.17,228.51
28.2711,96.1471,296.875
0.938459,58.6585,168.717
6.44369,-68.3337,-194.367
74.955,27.8584,133.299
59.746,-44.0652,-85.6125
-93.0167,-49.0249,-210.594
-34.2518,-40.0757,-142.163
-6.0444,2.15324,0.330385
59.6544,85.3444,288.38
45.4281,44.8201,160.941
5.89267,-59.1947,-168.35
-60.7505,-53.1604,-199.177
-75.1831,-86.6036,-306.298
36.2498,34.2995,123.883
8.17394,65.3879,193.409
-93.0691,-95.4738,-344.892
33.697,-44.8885,-106.859
-78.3359,9.65146,-30.3564
16.7407,-8.12303,-12.8701
66.5329,-6.82864,26.9356
14.3926,29.5181,94.2311
63.29,-61.7372,-134.127
-75.8978,-96.5647,-335.609
-1.52617,-59.2322,-173.832
-2.58343,80.6079,229.611
-89.3803,50.2092,78.8766
61.3318,4.62999,56.2897
69.0896,17.4762,99.0408
74.0699,-4.8491,38.1165
60.842,-40.0006,-73.0699
3.10955,-46.9731,-135.039
86.7523,96.2023,339.392
78.0076,25.9025,129.856
62.5952,25.2514,116.811
97.3273,98.9237,354.917
-41.0992,-76.3387,-251.941
-11.3031,-29.131,-93.9057
21.0708,41.2151,132.878
-83.8831,-71.6215,-269.294
45.106,-22.3176,-33.3545
-22.6784,-27.7085,-98.0328
-13.0413,61.7346,167.483
82.3899,95.1754,333.264
-92.4395,23.5314,-0.451432
46.3775,-22.0792,-31.7446
-39.0755,-44.7581,-159.191
-19.9844,64.7441,171.153
-23.3527,-42.5937,-141.547
52.8761,79.2579,265.878
77.0757,-95.642,-222.144
-5.92714,36.8774,100.786
-26.4828,-34.5096,-120.447
-9.00993,-78.3007,-234.37
-99.2305,-40.141,-189.415
45.8577,8.78665,57.0968
46.1232,-42.068,-89.7066
8.28847,5.30261,19.8149
-25.4421,17.073,29.4064
-16.8221,63.8855,170.961
40.5066,-69.1336,-172.008
74.3321,-14.5902,10.1497
-71.2543,-60.5509,-228.147
47.6677,48.5375,173.308
-75.3919,8.77636,-30.7535
-29.0035,-47.5318,-159.914
56.74,-79.6989,-190.789
12.5653,67.6631,203.166
-11.0274,-24.2847,-79.6978
10.6677,-13.6336,-33.1971
-74.5658,34.5507,44.3458
52.8352,31.3288,127.309
51.0082,-19.565,-21.1234
-24.1062,99.4238,268.409
-67.4067,-82.7522,-289.533
68.5684,-50.0261,-96.4526
-0.531405,-58.6857,-171.532
-29.744,-85.7784,-271.002
-56.7141,-58.1692,-210.732
-8.96691,-49.7518,-151.818
55.6589,-49.2426,-103.538
-12.0331,-37.0142,-117.221
80.0696,-48.1995,-82.8425
46.7523,-97.6879,-250.02
63.6202,42.1497,166.398
54.4177,29.0769,121.946
44.785,-60.5881,-144.208
48.803,11.5474,67.2098
-85.2283,-44.47,-191.787
10.1654,-70.1169,-196.826
97.0489,38.9891,181.474
-59.7374,93.5275,225.559
-83.6371,-37.4685,-170.396
-55.1307,-86.7719,-292.261
11.7094,82.1438,244.402
16.3652,44.1054,137.825
63.4553,-98.3978,-239.974
19.0281,-64.6669,-174.654
-83.658,40.3621,54.5581
-64.3952,9.39847,-20.9904
25.5128,69.9742,219.224
86.4008,45.371,192.209
-75.9817,4.85406,-42.5181
-25.5529,14.2857,21.2694
-25.0241,-29.1546,-103.912
-85.779,-88.5401,-319.571
-43.544,-83.2033,-273.554
-67.6742,-75.2111,-267.93
56.1866,-33.7311,-58.3197
64.895,97.99,328.728
-67.4374,-47.1087,-186.528
-67.0424,47.1743,86.2834
-36.7489,-33.1289,-123.892
94.5025,-34.0129,-31.3822
14.5548,20.2763,67.6352
-81.7949,-45.1592,-191.292
5.34757,6.31771,20.619
9.07887,59.2341,176.277
-72.121,-94.2579,-326.205
83.5426,58.968,229.441
-63.8657,-89.8971,-307.621
75.6907,-52.0356,-97.1023
1.65126,-76.5895,-221.702
14.6129,-29.2539,-75.4901
-1.22021,71.4005,203.984
-13.1551,-70.4031,-214.544
-10.1327,-2.9063,-17.2554
-2.64655,91.2704,260.385
35.6176,-4.74653,10.5622
-36.4021,-95.7833,-304.744
3.15548,9.38076,27.885
48.5036,-84.7522,-211.361
75.757,-57.0338,-111.502
52.773,-10.4604,6.47184
-43.8846,-47.4459,-170.444
48.3659,68.0269,230.148
-92.8756,91.5732,195.908
78.9168,-13.3123,17.1642
79.4958,39.4506,170.095
-0.932895,-71.4733,-208.785
53.6025,-51.0998,-110.396
64.9092,95.9237,322.766
23.1842,-95.2727,-260.109
44.9866,25.4141,104.528
51.9372,63.0885,218.46
75.1961,37.4956,161.33
33.3233,-0.360067,21.5795
-55.6896,51.6967,107.578
70.9943,-99.6012,-237.993
54.1206,-32.53,-56.3444
20.0283,-77.0042,-209.59
67.581,-78.107,-178.336
35.408,66.5587,216.518
87.7982,-86.7457,-188.663
-23.2243,-16.4697,-65.9427
20.1104,-75.0146,-203.78
41.7407,-52.6761,-123.544
-12.9767,-85.138,-257.006
91.4348,-36.0975,-39.6299
-13.4063,-97.8282,-293.999
2.14542,-44.587,-128.841
79.0012,-57.6735,-111.001
74.557,10.9318,84.084
-92.1358,-49.3912,-211.015
-9.54381,-21.4946,-70.5585
-45.3486,-0.127318,-34.7294
45.5766,-54.3846,-125.704
-9.90744,-6.71959,-28.1145
-82.2272,-40.4779,-178.074
32.0871,28.0696,102.86
15.0436,-43.3709,-115.983
-56.2819,73.6233,170.528
-30.559,89.3691,234.672
-94.1179,-28.8443,-153.059
-19.8328,62.7077,165.376
64.1635,21.487,107.066
-19.6597,-54.246,-172.553
-72.5832,81.3841,181.154
4.70558,77.1616,224.929
-31.4186,50.1621,120.722
-88.041,-80.5442,-298.097
-68.673,-85.4453,-298.235
-96.7689,-62.0611,-250.993
36.724,-95.5313,-251.05
-59.6464,-72.7819,-255.094
82.7527,-12.7622,21.5326
-35.9753,-98.1103,-311.161
-17.4705,-43.2723,-139.248
16.4911,-1.43792,6.27247
-54.0785,59.1075,130.166
-32.6156,-29.5678,-110.605
61.7347,-30.3478,-44.5219
-13.9607,70.5487,192.294
-94.636,-13.3926,-108.771
-96.066,39.2198,42.2691
-51.2029,-21.9938,-102.175
3.29445,94.5719,274.231
-75.3262,-56.8579,-220.422
30.9415,13.2876,59.3031
-80.478,13.6286,-20.4121
44.2128,-62.3386,-149.682
-89.007,22.122,-2.03908
-68.881,-99.4742,-338.936
22.6736,98.169,298.665
-35.1248,-30.7946,-115.968
-4.36045,22.6701,60.8542
3.78449,-4.08439,-10.5805
-46.5449,89.3439,223.021
-59.0208,33.3386,52.1013
91.0805,23.5796,132.61
-71.2284,23.9971,16.2578
8.5948,14.0199,45.234
72.0202,49.6927,194.285
-56.4047,-64.2895,-228.198
-19.4873,67.2444,178.74
-49.4475,30.8974,51.9788
-96.6747,-37.2332,-179.159
-39.9737,23.1814,36.5374
-11.0718,49.4238,133.325
-75.5039,10.7618,-25.0957
-54.2776,86.6833,209.73
66.0258,41.1014,165.11
-64.9196,35.8314,55.0342
85.05,-66.2517,-131.415
-36.1688,-68.059,-224.437
-47.7645,-37.7506,-145.229
70.7614,45.5288,181.338
46.1545,23.0647,98.5823
-64.1514,-30.0989,-134.981
85.6349,63.8744,245.138
38.2646,-52.251,-124.832
-10.1435,-33.2323,-104.921
12.5729,7.52758,29.3494
33.1691,-32.735,-72.1121
62.8211,-99.9579,-244.943
84.9796,-15.3358,15.7066
95.3501,52.4824,219.247
-52.3989,99.2719,247.478
-9.90249,29.1951,75.7006
-79.424,9.42793,-31.7906
37.2158,21.7109,88.1949
-72.4231,65.5967,135.636
34.9744,-48.4681,-116.281
-96.5208,3.93775,-60.0431
28.44,-14.3659,-22.4414
62.2502,-74.1298,-170.701
2.51361,54.0548,156.551
79.5694,-72.3175,-152.918
69.5186,86.2283,298.08
97.3665,-35.7874,-34.4371
-86.399,-78.1274,-289.922
67.0116,28.6093,129.716
-98.0893,-13.1815,-110.662
65.4189,43.4474,171.452
71.0862,40.4902,167.009
-24.5765,-77.618,-243.671
18.6391,-50.4493,-133.839
9.81885,-4.85953,-8.45037
78.0888,-57.1374,-110.112
27.0745,22.3548,82.7109
27.937,-86.8281,-232.258
6.37995,-50.4707,-142.78
-78.392,76.8134,163.735
-76.8294,39.6801,57.5326
-1.17697,-92.8245,-270.678
63.6655,73.7659,257.818
-10.5679,61.858,169.631
-63.3869,-80.3162,-279.581
-50.9689,62.6818,142.75
54.0899,54.4774,195.128
10.8416,-35.8608,-97.3188
-59.6032,-64.009,-229.704
-42.3213,-16.8548,-80.8875
73.833,28.8039,135.219
-37.3114,-59.2776,-199.882
27.243,9.95208,46.9829
3.55671,40.2425,117.382
-89.4677,-69.2894,-266.598
37.8393,18.0013,77.924
-88.461,32.6738,28.8562
26.7781,-86.9743,-233.52
84.847,-32.2037,-33.1463
-45.4947,37.2612,73.2365
-79.7059,-85.7071,-306.983
32.517,-82.4757,-216.36
73.6843,-27.5408,-27.7531
97.2406,14.8298,111.781
-59.0746,-28.4204,-126.452
41.4329,93.0974,297.593
-54.1667,16.5601,7.11882
51.6053,17.7088,87.0491
98.7094,83.0115,309.924
37.8983,-47.5943,-111.638
1.88754,1.87532,5.27215
87.0825,-66.809,-131.554
38.2683,50.0542,170.884
-9.08809,40.2583,108.269
-69.6921,-49.3049,-194.509
-35.8543,-55.8508,-188.922
64.3677,85.5318,292.336
22.8797,-33.6369,-82.1715
-12.692,82.7031,228.345
99.2995,24.0275,139.858
-25.585,-54.6952,-178.144
-5.61498,93.3155,264.146
-53.4184,24.0006,29.1674
-25.7432,-47.3397,-156.997
92.003,42.7771,188.769
-42.4008,58.6602,137.331
86.0433,35.9265,164.651
-23.1294,-90.9719,-281.223
66.0429,67.5347,241.528
-57.2715,-79.7158,-273.416
6.70278,25.7641,77.8105
63.9661,36.0823,149.111
-50.025,44.8774,91.9698
-90.5789,-24.0476,-136.631
-2.10177,-35.4722,-105.571
40.0677,33.0653,123.081
-76.4329,-74.3942,-271.912
-67.6519,61.33,126.759
40.2705,-11.9626,-6.92578
39.8539,36.0928,131.677
19.2961,42.7135,135.924
-56.0253,34.4735,57.5514
46.032,18.3541,84.8776
-47.5136,-93.7278,-306.85
8.04626,-6.89425,-15.6156
-7.34169,9.39017,20.3091
1.52002,-28.7981,-83.6556
68.9413,-55.6225,-112.359
1.92936,-4.59301,-13.3943
-73.9413,36.0784,49.2138
-89.8428,-79.7233,-297.029
7.3414,84.4097,247.788
-5.19136,18.5638,48.3829
-56.9257,-76.0171,-262.474
-74.0644,87.4297,197.556
60.8021,17.22,92.2975
74.9192,15.6689,98.039
85.516,11.3061,93.1034
-1.24079,27.3157,76.5418
85.6144,9.39798,87.6594
84.8405,-90.1353,-200.602
71.3735,-57.7265,-116.679
5.87297,-33.7843,-94.9156
4.06857,97.4212,283.028
31.8345,65.1266,209.791
46.0458,95.7357,308.56
-28.8049,1.3184,-18.568
12.9149,71.7025,215.095
48.224,-39.8955,-81.9052
-66.117,42.7441,74.148
-9.13015,53.0891,145.326
45.8306,3.97367,43.1652
-72.7338,22.2101,10.0021
98.0468,34.6705,169.715
73.7349,-44.6693,-77.2267
33.8871,81.7956,259.459
76.8102,29.0615,138.12
-2.69289,-86.33,-253.003
91.7889,14.9485,108.175
-95.2954,-63.4016,-253.8
-75.36,62.0853,123.359
-55.3367,7.15245,-20.9216
69.9637,96.1775,327.16
73.6907,91.4518,316.2
48.8254,66.9761,227.443
23.8525,94.5517,289.063
93.4084,32.8323,161.042
-94.9165,-52.6957,-222.58
13.5098,85.7514,256.134
-84.9545,-61.7409,-241.51
-56.1872,-30.0332,-129.023
1.33825,-62.4015,-180.918
-17.5647,-4.71179,-27.8571
-75.2519,53.678,99.1363
95.7045,-97.3785,-213.67
16.9093,-46.6956,-124.242
-86.2842,-58.2512,-232.386
-71.7735,-59.7522,-226.215
-23.6697,-1.46304,-22.8884
-97.1407,37.9116,37.7095
84.0412,-49.3039,-83.158
74.682,66.076,243.569
-5.94485,65.8804,184.606
71.3583,-30.2105,-37.1548
-66.7526,39.0433,62.9907
32.0771,-87.685,-231.736
-56.4174,-57.9303,-209.826
-73.224,51.572,94.5176
54.4576,-62.3404,-142.267
-56.8762,2.57419,-35.2701
25.8353,-57.0882,-147.817
28.9014,-47.0969,-116.716
76.0785,35.3412,155.741
-39.2981,-93.2074,-299.396
3.55099,-12.4145,-34.8278
88.4329,-37.0934,-44.6827
37.6668,75.765,244.765
-28.3114,53.1027,131.472
50.9649,16.2503,82.3696
-16.987,95.3975,261.928
60.4452,81.1306,276.773
-65.7519,59.508,122.869
99.1403,81.1257,304.785
-67.0883,82.4621,188.25
91.9897,13.5565,104.297
-52.6202,-62.1708,-219.333
84.4882,55.8108,221
92.8715,80.114,297.321
-57.5813,-92.7399,-311.287
59.4759,-36.426,-63.7272
44.7389,89.8022,290.462
37.4563,-82.7727,-213.641
65.3871,41.3272,165.3
72.8779,59.1373,222.206
-23.9404,-44.8002,-148.351
3.79468,-20.6682,-58.5087
-13.2177,-57.4878,-177.258
-97.3733,-51.818,-221.823
30.0331,54.9617,179.104
-64.6771,-96.5787,-327.522
91.0682,46.8935,199.991
32.9692,2.14748,28.5712
-47.5634,-87.4157,-288.641
-58.07,56.6056,120.043
-46.4682,-71.7713,-242.627
-40.6626,65.3107,157.814
4.48843,-2.65878,-5.94989
-64.7387,-25.1167,-121.005
-29.1877,-88.0941,-277.292
55.7079,33.1083,134.533
-47.3273,27.3666,43.3088
-37.5825,11.9682,5.85783
28.8942,-23.4913,-48.4893
-54.774,-25.0507,-113.597
27.7821,80.2834,250.666
59.3898,-58.007,-126.169
-96.5058,-41.5087,-191.395
12.6818,-94.0598,-264.21
-77.2984,-33.1879,-153.432
52.2965,-87.0002,-215.112
-49.7448,19.1277,17.7432
21.3701,16.0556,60.3715
34.4159,-96.2417,-254.775
96.4618,24.2642,138.487
27.1232,-20.7825,-41.9423
-25.7674,-21.1507,-81.315
4.24443,-73.0464,-209.582
-17.9934,-27.524,-94.1063
16.1536,80.1238,241.783
38.8539,70.0081,228.985
58.2297,-38.9912,-72.0443
20.8031,55.8819,175.079
50.0454,37.9585,144.451
-27.7473,-8.20357,-45.3253
-4.69978,4.75599,8.82757
-63.1278,49.9241,97.0669
-64.9056,-6.78811,-68.1475
85.0191,33.1992,156.026
43.3577,-23.1576,-37.0489
-22.5499,71.4636,188.718
-59.8912,89.1934,212.919
-44.8338,26.8546,43.6348
-33.769,77.4724,197.96
18.9875,64.0809,197.463
84.143,-11.526,26.1127
15.7689,-36.6174,-95.9372
-47.3866,53.8353,119.774
-10.5818,4.63388,4.21427
-6.22646,-11.812,-40.1681
89.8186,65.9474,254.161
55.0931,13.8891,78.5346
-71.3666,91.2215,210.47
-22.6154,-77.5353,-242.012
-8.36236,73.2446,204.141
55.5884,-35.9269,-65.1001
20.4577,-80.3677,-219.001
-45.9594,-61.0226,-211.19
75.2293,60.2437,227.107
91.5311,17.1354,114.31
-55.0003,71.4921,165.296
91.3192,-93.2553,-204.928
34.3078,-59.4749,-148.579
73.6703,58.6597,221.399
-45.107,66.8802,159.131
-95.5526,-29.7703,-156.775
-45.5958,-97.3442,-315.914
15.9095,-71.8956,-197.807
51.3972,-49.0041,-105.936
-46.9549,-76.9913,-258.068
21.7762,85.0217,260.012
99.0608,-79.5018,-159.567
-51.9302,-32.7215,-133.71
-34.5285,92.083,239.642
-43.8986,7.68596,-11.0949
18.7567,4.98334,26.4741
52.7239,-99.9685,-252.287
-48.8749,-32.4481,-130.707
-18.7105,55.5374,145.464
-29.9848,-54.1679,-179.806
-29.4743,54.9805,136.058
-59.808,-66.2236,-236.254
69.1017,34.7902,149.096
35.8695,80.0116,255.738
48.9409,-78.5063,-192.991
98.7732,-96.3817,-208.566
-48.5962,42.4267,85.921
-90.9852,-1.26583,-71.0747
93.0624,51.4809,214.695
61.5328,0.56042,44.6722
46.7271,60.814,208.112
13.7193,38.3574,119.293
37.8224,-76.3059,-194.684
3.38666,33.6876,98.3114
-84.4727,85.0106,183.025
-42.0513,87.4804,220.889
53.4021,-10.1304,7.88141
-17.5629,-65.9654,-204.91
24.2349,91.9782,281.901
-48.1077,42.4492,86.3398
-13.6282,-0.080946,-11.6204
-26.8667,-98.2973,-305.104
2.74467,-21.6197,-62.0195
40.4293,0.10179,28.0614
26.5698,-37.5775,-90.8891
23.5211,-92.8321,-252.811
30.7331,-68.9222,-178.476
-82.1007,-98.6083,-346.008
-31.1514,-61.4583,-201.724
38.8357,11.6484,60.2826
89.586,-57.6661,-103.313
85.4924,-20.1308,2.21782
5.69845,71.369,208.904
-38.2855,39.5161,84.9757
16.4594,-63.2989,-172.56
17.9428,96.886,291.53
34.7543,-28.0655,-57.4667
-16.5482,-8.1903,-37.1755
-9.11908,-68.0048,-204.689
22.6785,35.8042,118.402
-3.89721,66.6172,188.219
24.223,-53.8517,-139.63
4.71346,59.769,174.661
-96.7567,45.4682,59.8301
81.0119,40.8079,175.116
-78.607,12.4351,-22.5067
77.042,-22.6072,-11.0606
87.0668,62.571,242.408
51.0587,13.663,74.9589
14.5407,69.9527,211.215
-17.1003,-83.9745,-256.63
-85.186,60.6112,111.981
89.1901,-19.1857,7.62805
-29.3911,-26.5876,-99.6551
19.5271,65.8753,203.041
23.2814,98.5578,300.229
-11.8426,-0.864125,-12.5909
-55.2297,5.84528,-24.6224
-32.9609,35.5716,77.4309
-13.9408,79.6104,218.501
-3.01689,40.8188,114.286
-87.9706,73.9953,148.652
-94.4956,-30.2149,-157.295
-56.0014,-44.9189,-171.915
-90.5151,-19.9135,-124.635
-75.0041,89.2713,202.198
16.3492,-54.1738,-146.264
-48.1412,17.7928,15.046
-51.3642,-60.3739,-213.229
5.66688,9.02011,28.6615
-31.4889,70.7728,180.246
-51.9724,62.0223,140.117
-64.519,-29.4598,-133.4
-12.6323,93.4156,259.353
-12.251,21.3843,51.4224
67.8557,-34.4665,-51.9935
86.8188,42.5493,184.356
-38.2828,-66.6818,-221.988
38.2715,63.9205,210.967
19.4122,17.7458,63.8389
-96.8642,95.017,202.973
61.4687,64.2314,228.667
-61.5129,17.9545,5.82836
-45.6915,-96.6477,-313.97
85.948,44.6813,189.888
42.2983,-51.356,-119.324
13.8378,43.1463,133.222
64.7441,38.4717,156.581
17.6706,-52.8463,-141.469
74.4747,-38.8745,-59.9408
-66.5516,-85.7908,-297.697
-0.836368,22.9384,64.1822
-68.8211,42.4259,71.27
67.8418,-26.7381,-29.6648
-53.1666,-35.567,-142.83
-95.9969,-16.0265,-117.37
-7.27912,-84.0118,-249.624
42.2755,9.1872,55.66
25.8021,-61.7995,-161.459
-71.6036,-19.7639,-110.505
9.37563,-18.6863,-48.7376
-19.7569,12.8094,21.2001
-98.2667,-5.79055,-89.4273
-14.7952,-70.5474,-216.149
-51.4778,-39.5334,-153.072
-1.32624,64.4252,183.745
-31.6541,35.2864,77.5528
22.2905,50.8108,161.498
81.667,7.87445,80.3965
89.7151,-84.8261,-181.726
-40.6219,82.9031,208.694
41.1314,-84.0471,-214.663
39.2205,-63.5835,-156.897
77.2414,54.2092,211.122
-11.8105,19.3243,45.787
-5.34426,59.363,166.203
23.3977,63.4051,198.704
-59.9351,39.9419,70.5259
-35.0675,-10.8121,-58.1672
-76.6417,-56.0601,-219.069
77.4588,63.5843,238.378
-74.7133,60.1389,118.202
-51.5482,1.99823,-33.0758
-97.5772,-92.339,-339.096
-55.1331,82.2891,196.409
-31.4406,-83.0817,-264.436
-72.2674,-50.5758,-200.048
31.1124,-48.8379,-120.147
-59.1591,24.3867,26.1257
-68.6354,-8.80875,-76.6896
-66.0037,-4.50428,-62.3414
-69.488,93.9065,219.592
-85.5125,-0.605245,-65.2014
99.4787,-14.243,29.3669
-68.7871,-91.7761,-316.617
37.0758,-47.5526,-112.113
78.3395,-80.2381,-176.703
55.5284,67.8374,234.788
-36.595,-90.5502,-289.757
77.0817,40.0357,170.038
70.7035,-69.7743,-151.988
32.1827,15.7677,67.3706
23.4479,-15.961,-30.6677
-73.4328,16.7342,-6.3323
69.2369,13.1592,86.669
-51.9349,66.374,152.722
-27.8583,-16.5152,-69.4306
-0.24468,-96.7051,-281.219
-98.2737,-81.8908,-309.4
74.7751,-97.6856,-229.717
-18.6291,98.6113,270.028
-18.5773,13.4594,23.9333
66.8753,-55.3599,-113.096
14.2857,12.6823,45.4897
-60.8074,-83.922,-288.135
55.3008,-72.0948,-169.852
9.05291,6.31143,23.2846
1.08483,94.5247,272.494
-37.418,42.668,94.7148
-41.1764,67.0583,162.493
20.5931,7.95515,36.3943
41.0154,-33.5037,-68.6509
73.9524,9.88228,80.6125
93.8751,-19.0012,11.5546
-0.196199,-8.19841,-25.3553
-24.0089,40.708,98.7616
-26.0494,36.0352,83.7769
-37.4171,77.097,194.232
33.8912,88.5618,279.02
-40.7238,-37.3761,-139.047
4.7121,-73.0399,-209.225
80.9793,11.485,90.3347
-29.9519,-37.1508,-130.594
-3.54939,-33.8931,-102.055
13.8392,-33.5669,-88.5172
95.945,-70.1492,-134.79
-35.6648,18.6057,26.4324
-74.3424,-36.1058,-159.725
71.9665,-62.6668,-130.529
-40.6651,-1.59555,-35.5811
-84.7481,-19.5789,-119.491
1.10214,-29.7301,-86.6523
60.1344,-15.0088,-1.34365
50.5671,-10.2357,5.52366
52.3955,-57.8455,-130.769
29.9,38.7941,132.275
-1.65917,-29.3537,-87.5643
44.4556,-18.6973,-23.3613
82.3618,-64.5183,-128.352
17.3439,69.5019,211.942
86.0279,6.10366,78.4366
-87.0742,28.283,17.169
90.0751,-31.3419,-26.8686
-39.1188,46.8693,105.627
-5.16856,-59.9474,-178.537
55.0539,16.7496,86.7744
1.02414,-61.8592,-179.578
-20.4229,33.6975,81.0951
-61.0542,-44.1829,-173.448
2.3076,99.8123,288.664
35.6363,-10.4755,-5.98406
96.8196,66.6168,261.167
-40.5859,0.285493,-30.0866
-5.39085,30.436,82.5553
-59.1827,-55.5299,-204.891
-78.1426,-52.8574,-210.898
-60.5562,62.322,134.766
86.3729,54.1898,217.68
-37.038,-38.1418,-138.591
-66.8996,-65.6609,-239.764
32.3815,29.6894,107.755
51.9342,-48.538,-104.199
34.3193,-58.6278,-146.122
-57.2398,-43.7806,-169.522
38.8571,-87.2467,-225.559
-25.8214,-97.781,-302.854
-72.8436,-83.9422,-296.911
21.0824,25.9712,88.824
-5.29533,29.2202,79.11
-88.4202,-5.96493,-82.7996
72.1463,-21.5699,-11.6082
-24.823,-84.0686,-262.495
-75.3667,44.7128,73.1392
45.8821,-57.4736,-134.411
14.7559,49.9156,153.453
60.4695,65.8526,232.629
33.3992,-73.125,-188.693
-53.0008,75.6393,178.732
-13.0045,-43.1672,-135.71
-51.866,-50.5904,-185.314
25.1203,65.1514,204.999
65.9659,-44.5361,-82.4685
-24.8388,41.2822,99.82
39.7291,46.8022,162.542
91.064,-16.7609,15.9941
36.7362,-83.779,-217.071
-72.8621,-1.6553,-59.0739
12.2721,-27.0363,-70.7755
66.1942,-55.0538,-112.705
-41.6682,-72.4249,-241.04
27.0067,-7.38293,-3.29518
81.1868,67.6055,252.702
-87.723,85.1953,181.204
7.64544,-10.028,-24.964
-63.3369,73.995,166.493
6.18603,79.8117,233.661
-76.2116,60.9161,119.363
97.1931,61.534,246.745
27.3757,-89.7402,-241.082
-17.4891,-45.1196,-144.601
59.4068,-58.3318,-127.096
-58.14,-2.05652,-49.5705
12.479,-1.8034,2.3101
-34.1747,0.786391,-23.9951
73.4887,-90.4278,-209.67
12.5667,90.2368,268.416
16.1726,59.9682,183.537
-71.5107,-24.7731,-124.917
-4.1257,57.1899,160.804
-96.1786,-27.7706,-151.448
-83.3277,75.2989,155.782
59.3458,-52.5225,-110.348
14.887,-72.8698,-201.363
53.0248,62.3794,217.198
5.64222,-22.0923,-61.2869
77.1057,6.68941,73.6674
-81.8224,-74.5721,-276.33
23.0469,-50.3699,-130.417
-61.6296,68.2972,151.26
37.7986,56.8466,190.177
-88.8893,65.2173,122.613
-45.3701,39.621,80.1477
-34.2426,49.3457,116.317
-26.5895,-76.439,-241.722
44.5263,-5.94945,13.5377
-91.0113,-80.6338,-300.507
-88.7551,-68.8269,-264.745
59.3447,80.8349,275.121
64.8408,84.8542,290.72
-43.6471,-46.2137,-166.71
-7.16263,87.9928,247.64
34.4676,-29.3855,-61.4897
30.6927,73.8648,234.221
39.6828,-39.8511,-87.9633
-72.4395,-35.8048,-157.477
74.4861,86.5971,302.744
53.5163,13.3677,75.8853
-54.8351,-10.7267,-72.2381
67.4487,-88.3056,-207.911
69.623,-34.5629,-50.9923
-90.5822,4.41585,-54.3598
-30.0165,-5.09922,-37.9957
-52.2243,-53.041,-192.657
-45.3122,-24.7117,-105.764
-99.4617,-81.8589,-310.169
49.6493,66.0158,225.264
-88.7986,40.3179,50.7069
72.6644,-32.8862,-43.943
18.4239,-61.099,-164.778
40.893,98.779,313.624
54.9365,-59.0157,-132.31
-68.7158,-0.912118,-53.9226
65.7109,-52.7012,-106.254
-23.5814,1.25703,-14.9621
-67.8751,70.056,151.82
91.5558,-50.2069,-80.3253
-86.136,-87.5301,-316.909
49.4504,-6.67103,15.0184
83.3942,-94.9303,-215.51
-96.7503,-36.4776,-177.03
89.8197,85.2237,309.88
82.4356,46.4052,192.327
