a,b,c,d,e,Y
-12.1216,-81.8516,-11.1434,-12.28,3.59439,782474
88.2067,98.7888,-77.5072,16.2837,-33.6845,-1.87149e+06
62.9973,-74.0789,39.6646,-78.9228,-26.3444,-394016
-66.0106,35.6744,-38.3118,58.7778,-91.8512,3.21809e+06
-89.8897,-17.3529,7.01766,67.9589,63.5915,1.41025e+06
23.4529,25.966,-18.0621,81.5828,-80.9723,1.64353e+06
-4.61031,7.22042,-53.8709,22.8545,-78.7137,1.86755e+06
-82.7352,-81.3998,90.34,-57.5161,55.533,-290993
3.80814,47.7167,67.325,-93.2111,28.7171,-1.29993e+06
-40.1867,67.0691,-4.12961,-23.1497,-17.4576,-231372
45.101,-84.3647,33.7542,-50.7945,-58.7692,1.02491e+06
61.0019,17.7165,-9.45537,-11.6861,-57.4452,-117217
-80.0109,-34.9076,-61.2094,33.8956,-51.7814,2.6029e+06
-48.2111,-85.6327,-25.4279,-52.8987,79.3209,-255869
73.8517,39.9293,78.2237,36.9596,27.7028,-2.6697e+06
-60.4678,-69.8678,81.786,5.01232,-82.5705,1.16615e+06
-75.1681,26.4209,-0.610249,89.177,-35.4807,1.51732e+06
20.6293,84.8847,79.4617,88.58,-61.2179,-1.46899e+06
-62.2758,-75.3392,-72.3207,-45.5802,94.5282,-114815
78.8947,-96.2683,-84.3768,-59.6672,-59.4532,2.15124e+06
-51.8137,31.2375,-37.5875,55.1513,52.2468,135861
-71.41,42.5898,-78.0292,-21.3582,3.31034,2.31519e+06
-36.0966,67.175,30.5796,95.081,-65.1029,663890
6.13693,14.0398,14.8094,-0.225049,-31.8628,77833.2
-92.9322,24.3191,-89.5829,-62.3328,-78.7485,5.71775e+06
-38.0108,58.4131,-52.5649,-51.5492,-40.7703,460368
11.6812,54.5448,-68.3299,-51.7938,-9.50057,668736
98.9025,44.9707,-45.5502,56.4943,63.4507,-3.33817e+06
-64.8115,75.9727,-65.8156,-50.0314,54.1568,487532
-89.3968,-81.6352,42.0998,96.4217,82.4606,1.19771e+06
29.3822,54.903,44.5998,46.3151,-66.6463,320806
25.3732,-90.5177,36.5534,29.7014,-69.6908,1.84283e+06
-18.2854,76.3386,97.9771,79.1494,75.41,-4.43469e+06
-90.9197,94.8052,-56.1855,43.9359,48.9365,1.13529e+06
-6.86921,-67.7017,67.5732,92.5076,18.8879,-234546
-71.9999,-3.31208,26.7672,-26.178,31.3574,913891
-84.0738,-56.1264,-72.8859,-23.8456,83.688,1.34391e+06
29.0239,15.6843,-51.403,-37.6745,-54.0304,762344
-94.3969,49.0209,-0.942759,-52.2867,-90.0318,4.30545e+06
42.999,24.0224,4.87907,-46.6424,12.111,-278939
-52.6285,-34.4869,26.399,-81.7957,-58.4606,858743
42.9003,-16.5685,60.9446,-29.687,77.3532,-2.2416e+06
-55.0899,-83.9505,-3.4672,-19.6725,-61.926,1.99081e+06
-80.3024,-44.9336,30.063,-87.7456,99.8301,-1.5716e+06
-1.11813,-83.145,-72.5847,-18.617,-8.03616,1.93005e+06
-91.5653,-26.1454,23.9123,41.7007,-0.667136,2.20089e+06
-14.251,-95.0069,21.9662,62.932,17.3377,1.24737e+06
18.5525,92.2149,-38.8743,88.0594,52.6804,-1.19293e+06
64.8506,8.84821,67.8669,-60.0272,88.5578,-3.78212e+06
36.3315,-85.8271,-60.8741,-45.522,-51.7549,1.78944e+06
-28.4836,-57.9647,-26.003,11.7588,20.8577,365168
41.9409,49.0156,78.1761,-76.8217,86.4077,-3.76397e+06
62.8812,-13.9072,-65.2213,-24.8906,-22.9654,130003
88.8893,-77.5547,25.9759,-5.41682,-95.7099,1.11737e+06
77.1417,80.9098,-2.38809,62.2822,-55.3304,-1.51623e+06
32.0697,98.6332,27.9609,53.6931,-86.9103,423091
-28.4488,71.873,3.58435,85.9531,-71.7249,784607
82.0641,-55.7802,-86.8109,27.5643,96.421,-2.07274e+06
-71.7629,-19.4851,-64.2479,-1.24365,-67.3186,2.71752e+06
-9.65566,-87.5898,-16.0669,-78.3935,47.0825,533874
55.686,34.8058,96.2731,-34.0067,38.2582,-3.2942e+06
-20.4177,-88.3393,-77.9503,-94.9904,-29.6478,2.24084e+06
-49.7816,-76.5272,8.75458,-77.3497,-91.6729,3.0906e+06
27.7138,-77.6516,-64.7825,-87.5062,-18.2992,1.24584e+06
-33.9885,-93.5472,53.5482,8.84994,62.2877,112922
83.863,-59.1058,97.6194,32.9742,90.3645,-6.24191e+06
24.4408,-85.8364,-22.0236,-72.21,21.3961,760247
-86.2268,88.1952,4.80477,73.2646,6.09158,971795
-98.6888,4.79196,84.247,-15.4068,91.6423,-1.24002e+06
45.3922,77.7757,60.5791,27.2287,77.2147,-2.92602e+06
-51.5983,45.0468,-32.0975,-62.049,4.68877,301348
-11.3084,-37.969,-4.49289,-49.8033,-99.8171,2.92475e+06
-0.692474,-6.2248,83.6347,-48.0313,61.3201,-2.38487e+06
-14.1477,-88.3841,-86.9496,78.5657,5.1135,3.04377e+06
-47.3582,-36.1016,-18.2267,-13.0936,-83.3066,2.05226e+06
64.5042,1.95846,18.0956,64.5326,39.4239,-893574
-97.9128,66.2826,40.3152,-97.4891,65.8302,1.00407e+06
79.7597,-72.1347,88.1328,88.5785,-27.8732,-2.63151e+06
-12.4601,-42.295,-17.1413,82.6234,-92.0463,2.54214e+06
53.8553,85.3606,-8.78872,42.4137,-35.2394,-1.18281e+06
10.2466,-54.1139,24.915,-74.2945,74.1284,-1.12801e+06
87.0937,81.0099,34.0183,64.1343,-33.0335,-2.58663e+06
-37.2065,90.1956,90.8534,36.0314,-74.5947,-1.83454e+06
29.8615,84.3916,67.4988,43.3455,-63.1632,-1.0594e+06
-68.2649,-91.5653,-41.6797,-19.7185,84.1538,442243
-9.62838,-9.34696,84.6116,7.61912,-21.2092,-1.70508e+06
-30.3911,4.13067,34.2241,-7.58054,21.101,-62578.9
-1.61719,-82.5311,83.2204,-26.4131,-95.0794,1.61948e+06
-1.18722,-28.7683,22.3611,68.3197,-96.1744,2.66504e+06
63.0609,65.7657,-19.9016,69.5746,-20.5859,-979245
55.3887,66.442,-79.0263,-99.8281,60.5228,-371115
-76.1363,5.63698,4.41145,69.1106,95.5452,-1.216e+06
66.5139,-86.3789,-54.82,-42.4469,91.414,-1.72638e+06
6.73571,-32.006,-18.2855,15.315,17.1965,49332.7
-72.6963,56.6231,-2.45451,-77.6709,-90.5667,2.86564e+06
-91.8436,80.9745,32.4585,81.012,65.3075,692232
9.21566,73.4151,41.7733,-55.4291,26.6828,-867879
8.974,-40.508,-62.249,-88.5945,-5.14074,626127
17.9768,-52.2247,-11.1245,65.3934,-12.747,276919
-55.2893,26.8958,76.0159,57.7784,64.5245,-1.54167e+06
0.485022,0.529689,-42.2165,61.8976,-85.3661,2.08636e+06
89.8218,6.27761,32.4529,3.12356,57.5483,-2.7492e+06
70.649,4.80866,-81.9126,-41.1637,-22.0462,603495
-53.6149,28.6805,-30.4737,-15.333,-57.0689,1.02092e+06
-60.6923,-29.2608,-12.787,-19.753,39.2137,496395
-99.1305,57.4642,79.4561,53.5408,90.8075,-1.08679e+06
40.8762,-4.5997,33.2733,0.602753,41.817,-519937
-22.613,18.181,86.6761,21.238,50.5457,-2.223e+06
-73.703,54.5035,-48.5228,59.3496,-84.1888,3.03048e+06
-75.1331,-72.9705,39.597,58.4256,-51.936,2.04241e+06
-14.7955,2.88831,24.0417,88.7339,46.8513,-133281
-23.8072,-11.3965,-81.0042,14.5033,-9.04853,1.59658e+06
1.35583,36.4858,41.4553,16.9884,-3.73603,-269080
-63.3774,55.9835,-14.035,-12.6724,-43.2454,714583
-18.5547,-63.0687,-66.2721,90.8302,-44.4105,1.69121e+06
63.001,-26.0218,4.31827,-5.21606,-56.0234,-193071
63.3664,-53.6396,75.4835,-71.1127,11.5792,-1.83944e+06
-74.2118,-83.7164,62.302,12.2899,78.0698,-102833
22.7218,79.5371,92.6917,73.8394,-15.0538,-2.90323e+06
-64.2507,-44.4452,45.482,69.9489,-6.73666,714225
-57.5405,45.6858,-11.6836,47.5492,-26.5216,497263
-47.5709,-69.8538,64.5357,-46.0655,52.9417,-444554
18.2469,-30.741,-28.8191,-6.4502,16.9712,79119.5
41.3522,-68.7322,79.024,-80.9982,-34.2847,-1.1763e+06
-88.787,52.2511,-95.8875,86.8285,69.8278,3.55006e+06
72.9507,46.5615,-39.4125,23.7661,49.691,-1.44232e+06
27.4027,-43.1543,-44.9179,59.2917,41.6554,167017
-63.9087,16.6016,-82.053,-96.3134,58.0437,1.5474e+06
-78.1784,27.2204,84.2216,55.2444,-89.9681,1.77433e+06
12.1042,47.8105,85.6586,5.997,-96.0583,597409
54.6348,92.9813,38.5687,88.5842,67.6329,-2.48684e+06
-30.5762,-32.7724,-77.6229,54.1396,79.7217,48875.4
29.4442,22.255,-66.7525,83.5254,44.8032,682963
66.2338,-41.2035,11.2631,-28.7824,96.8499,-3.42654e+06
-64.9041,61.9005,-22.1132,-16.4288,52.2612,49432.6
74.8097,-95.1441,-11.3592,-8.70966,33.3149,-97768.8
-48.9213,76.0688,-59.3922,-67.4578,52.8882,-191064
-45.2886,9.67826,85.2234,-37.422,84.657,-3.31386e+06
19.3906,-47.8049,-25.2502,-9.06932,28.9676,107161
88.5142,99.3613,61.8249,-40.7144,16.9792,-4.09191e+06
93.1851,-0.909146,-7.51002,35.9008,61.5294,-3.0042e+06
-12.574,-83.9361,-6.89091,-55.406,-91.6929,3.0251e+06
46.7676,-73.6333,-92.3903,11.2129,-46.3757,2.8546e+06
77.4547,-17.9003,16.2908,27.332,7.34852,-1.33709e+06
-3.27884,-16.0627,0.657443,-76.347,33.8608,-219736
-76.3888,89.1217,15.3404,10.2465,54.7323,-229010
-0.350195,66.4964,-40.6966,74.3689,25.0775,-144942
-17.3012,82.908,-71.9718,49.2744,64.5098,-461491
-62.777,4.8464,-38.015,61.7258,2.90363,937244
-3.33647,-75.3472,39.3223,93.6388,90.1966,-1.49606e+06
-92.06,63.5608,6.55011,-11.4582,24.204,1.8185e+06
46.5467,-71.0492,62.2158,8.15746,53.6824,-932791
69.7319,57.2119,-82.1353,-82.8002,33.5405,122223
26.6013,-38.4419,-63.8691,-27.3058,-4.01904,784663
19.8839,60.836,32.5925,60.5061,58.642,-972101
29.8733,67.0958,-90.4331,58.1145,64.3681,922017
-9.76324,-63.0973,-70.3042,44.8789,90.9162,-815233
59.6028,17.9314,-35.674,-43.9514,-15.1959,-494695
-74.5506,31.3966,49.9901,-45.8174,42.2764,534136
16.2324,-96.9306,42.883,63.9676,-57.5226,1.67281e+06
11.19,-2.89346,62.1656,45.3689,17.5602,-677528
-44.3094,-32.4549,15.5249,-84.2073,-47.407,441570
-32.4414,50.8955,-58.127,-46.3346,-40.7697,655540
-63.9126,73.1865,79.3678,-61.3602,99.2772,-4.18303e+06
10.8911,78.2473,8.8307,41.9589,-14.7782,-653000
15.9396,0.199524,-38.3018,94.2208,84.0905,-1.35973e+06
-15.6451,84.3032,-33.5696,-39.1422,-80.4509,759980
74.9481,80.9312,57.1878,-74.227,39.1261,-2.77728e+06
-30.3723,-50.8788,-28.4844,-75.7143,-69.7229,1.20182e+06
53.4807,31.2021,46.1004,-85.9543,32.8163,-1.02685e+06
67.6214,71.5484,-16.4019,15.9642,-43.857,-1.15581e+06
-50.9785,57.8509,-5.84056,-83.8586,-85.6856,1.77057e+06
13.6207,-16.6227,37.9741,88.7811,-0.266137,47474.5
-0.137417,54.0274,-58.4458,3.25948,-24.699,403891
98.2457,57.2447,32.154,90.2766,56.7811,-3.41955e+06
82.1818,17.1324,-33.0743,-61.8873,94.9147,-4.0771e+06
84.2697,20.071,-30.2061,-81.1886,33.5442,-1.89863e+06
-43.6037,29.7329,-35.5952,-84.0126,-46.8204,477826
-85.8602,30.6422,-10.9711,41.9995,-57.5838,2.33961e+06
0.319946,38.7858,-71.8732,-63.1128,-77.0853,2.26191e+06
-33.2192,29.5624,67.6719,26.1665,61.314,-1.49619e+06
-8.97221,39.7587,83.3174,44.8823,21.3054,-1.74553e+06
62.3213,90.6892,65.8673,11.0318,84.636,-4.36152e+06
92.0096,69.8467,-1.59067,-63.4981,0.723745,-2.78742e+06
68.5422,15.5945,-10.5619,84.1035,-6.05686,-756112
71.5506,-64.4544,-97.7226,-42.6563,-42.392,2.24377e+06
33.473,-35.4936,82.8379,26.517,-51.5629,-1.2756e+06
92.759,4.36501,-88.9579,-0.932383,-22.061,-212530
-80.8722,66.7561,30.7354,-20.2593,4.49308,1.00316e+06
-24.4645,-49.1605,-97.3432,58.6092,-62.8007,3.6715e+06
71.8641,91.4655,-71.1154,-49.2775,76.7917,-2.4684e+06
-80.3808,-77.4759,59.6259,-34.9352,-48.1548,1.84232e+06
15.4738,-35.3098,-92.929,98.1329,-86.3724,4.524e+06
-6.02876,45.5273,12.357,70.2132,-35.858,94659.2
-60.8148,92.1109,-43.1954,-40.1945,4.35668,-244515
10.6291,-60.8228,-83.6147,-64.1594,-45.4766,2.22636e+06
-70.8769,8.62476,-97.3061,38.0481,-3.84258,3.71979e+06
27.9327,-97.2418,22.125,23.0069,49.1116,855796
-70.881,-93.8496,44.371,71.9225,9.95974,2.04045e+06
73.3949,-28.2059,41.4903,58.5879,4.53796,-1.25011e+06
34.7852,9.96478,-66.5037,-51.839,16.4659,691629
-12.1803,69.0233,34.4989,-71.9166,-41.0926,-470471
8.66376,-44.63,46.7675,97.9757,85.3858,-1.73389e+06
54.012,-44.0994,37.7818,-87.4355,96.8636,-3.33206e+06
-68.7725,42.3129,-75.1124,-48.7305,-20.7826,2.05686e+06
-49.0157,-51.9374,86.9051,-75.2651,0.164429,-1.45291e+06
42.6023,18.7584,68.8047,80.741,-58.8608,-425382
55.4327,40.6623,-29.5815,-97.3161,-70.9309,285262
-30.9247,-34.5649,-42.8109,97.8179,60.209,-4352.53
68.6943,-29.2969,23.4717,-71.5109,-44.6494,-770494
-59.7101,2.21325,75.7851,91.8177,13.2438,-422252
24.6749,-83.0739,-25.7149,62.5167,39.4182,705737
-72.8984,62.3373,60.246,-52.8553,99.0737,-2.76432e+06
41.8169,20.0296,-66.9744,30.4469,-57.5978,1.21366e+06
5.09526,-92.8238,-38.4798,-31.9348,-9.92283,1.29225e+06
-51.3822,-79.6382,25.6997,1.14163,85.0085,-762933
68.0322,-93.6286,44.427,-5.31825,-34.4047,116781
43.8166,66.6758,86.555,-18.9695,5.22712,-2.52371e+06
83.5656,-12.9426,-58.4729,84.3199,-73.0214,203734
-83.4273,-79.1315,99.929,5.03212,-1.67453,-507546
-66.9968,-75.9641,-97.1971,90.6901,28.2554,4.30263e+06
-75.3927,-35.212,-82.8067,-16.9525,4.03875,2.94134e+06
95.7656,-75.9418,-21.6107,75.6401,-69.1726,-801321
-46.4935,-50.4004,-18.2032,1.48889,-72.5593,1.5831e+06
86.6138,81.6572,49.3021,-47.5562,86.2322,-4.90183e+06
-73.9018,-73.5448,-6.4744,45.9755,-18.0755,1.75909e+06
38.6359,69.0847,99.8236,-32.2543,-9.32205,-3.49389e+06
82.7412,-61.4634,-92.9937,-11.9516,-90.8309,3.20464e+06
-59.7692,75.8731,74.5238,23.6316,-63.4559,-457494
-49.0501,-23.5165,97.5778,-90.8125,-56.2516,-1.98789e+06
73.5713,48.9308,53.2803,-99.0184,-30.5697,-1.90749e+06
83.2298,94.6652,12.4827,-98.1781,-94.4367,-674432
50.5671,26.4635,-3.68088,-96.3683,-20.8708,-598292
-37.0022,-17.0559,69.8758,-50.2484,23.6483,-894463
-32.8126,-99.0437,71.0439,-80.438,-61.491,985038
-22.0063,95.4896,-76.3025,57.7373,71.1936,-914802
-87.2494,17.6137,77.3656,97.9288,-2.51286,833127
-72.8293,-28.8074,-60.2701,66.0814,-34.7445,1.98158e+06
4.74345,-6.83102,-85.3903,49.1127,-51.5359,2.24672e+06
15.1395,-90.4636,-12.2729,-17.6465,-30.1621,1.11662e+06
-18.8365,34.9833,96.9779,29.2689,80.6048,-4.19738e+06
8.75922,33.008,11.0734,46.2668,-29.7337,47962.6
87.8718,-47.0624,-50.8659,20.4806,-79.5056,30430.1
18.7626,-35.6716,-56.2806,84.5915,75.0838,-507429
-82.3912,-2.54621,-99.2248,11.1959,-70.7255,5.46333e+06
0.30061,11.0559,-43.4112,-11.9496,72.8656,-905592
5.09263,-23.6379,81.5255,-56.5416,-1.24956,-1.57632e+06
7.22018,14.9415,66.1358,43.5503,28.7474,-878256
-56.3986,74.4101,-69.5857,81.7323,-6.94687,1.07305e+06
22.9109,58.7418,-50.6249,98.824,68.0339,-595487
-53.2306,90.6917,47.8386,-27.4894,-44.7622,-687974
-25.8122,-74.9449,50.8155,71.8858,-71.4121,1.42611e+06
47.3742,92.2951,-38.1499,-7.69658,41.0638,-1.46477e+06
11.0777,82.3625,17.7333,-13.6343,79.9507,-2.32197e+06
91.0991,36.5129,48.214,-96.9539,-19.9038,-2.77077e+06
-36.6395,-37.137,-48.2523,35.5821,-0.118999,556534
-15.9911,88.112,-10.5866,-38.9633,97.7888,-3.72456e+06
5.82622,14.4408,-19.5567,-67.6372,-0.37675,-57214.6
-23.2574,18.9906,14.3522,36.144,94.185,-2.43128e+06
-27.9426,67.2543,-92.3704,78.5204,85.3654,235918
65.6331,-6.95222,-41.0446,-64.3539,83.4916,-2.39379e+06
86.3189,-5.58611,68.1874,84.7994,16.3774,-2.59384e+06
-73.4904,-8.59751,-94.859,-45.9202,60.704,2.93765e+06
66.1441,9.61019,1.65665,-36.9958,13.1792,-854117
40.9482,-7.99193,94.3294,26.5032,-84.9131,-833904
9.22407,62.0289,-64.6954,-23.1567,13.687,441876
-49.5614,-55.5758,-1.08183,-70.4046,-45.1814,766363
-12.7938,82.0061,98.0419,56.7576,78.4414,-4.85091e+06
-63.869,63.7102,57.9529,13.7943,30.2064,-261872
-71.1697,15.7461,-16.0392,-85.2292,-36.9882,1.02485e+06
-47.8948,-57.6323,-24.1728,24.5983,51.1769,230612
-82.6744,-52.4183,-18.2917,-68.0231,-2.56068,1.75736e+06
-9.05821,-21.4056,88.1716,96.2532,8.92107,-1.69338e+06
-98.4188,-58.8659,93.8548,68.4833,51.1977,334406
-82.1018,72.8373,-16.9447,66.6823,-0.639759,1.1336e+06
-70.918,-28.1809,26.657,-58.4068,95.1373,-1.59151e+06
42.0159,48.8226,-11.0477,78.2835,28.1401,-302337
68.8011,45.1589,-40.827,12.8204,-54.2517,-411106
31.0411,38.3699,20.1017,88.486,66.3067,-851872
71.4335,87.6146,-92.1099,-63.6794,32.9365,107517
-47.6773,-83.0106,-63.7985,-47.954,-27.76,1.91067e+06
72.0045,-93.037,-86.7531,-74.6814,17.9147,1.84777e+06
97.2274,94.7309,32.0273,-77.8632,15.962,-4.07149e+06
-66.7691,7.28645,-11.6721,-60.5876,-95.4597,3.31037e+06
43.8992,-16.5194,6.64656,-21.0943,-89.7503,1.84457e+06
75.8966,78.577,18.8921,-24.3303,71.7378,-3.06167e+06
-46.0621,4.07669,-62.3199,72.0747,-50.0843,1.45676e+06
59.7033,27.1922,-92.7081,-13.1913,53.6059,1.22469e+06
94.198,82.7405,54.4082,52.4304,-37.8614,-3.47011e+06
60.3289,-68.1824,25.9714,-23.7511,87.9393,-2.24533e+06
92.879,-3.02588,-11.5591,84.7313,77.3114,-3.49047e+06
33.4981,-23.5,16.7721,-5.2337,-49.7493,248166
89.6198,67.1782,74.3321,35.4536,-83.5129,-1.98469e+06
-92.898,-78.5389,93.4993,-37.4561,-38.4108,777205
-59.516,52.0861,-88.0054,80.0748,-65.8069,3.35894e+06
17.2926,84.2401,-1.67337,67.7951,-98.827,2.01708e+06
-9.7905,67.8692,-94.1784,-34.4398,82.8789,306706
55.8526,69.9304,-67.3175,80.0286,48.3032,-280422
45.6004,2.31522,62.7873,-52.6739,33.1149,-1.1242e+06
5.73708,45.6478,-51.8591,21.7935,-47.8855,591306
66.6803,95.2984,-75.3286,14.2364,-69.525,135748
31.4783,94.9724,-54.8817,-47.2989,79.359,-2.32061e+06
65.6163,-69.1147,44.135,-75.217,57.5022,-1.26176e+06
53.9846,-33.7224,-45.6777,-28.8569,31.9469,-222835
-35.5259,10.1406,62.4906,45.2979,-12.6992,-536665
24.258,-49.333,73.1582,27.8948,-5.36006,-984721
14.2183,54.4602,-98.9625,0.0284959,-10.8235,2.59292e+06
-34.502,-2.07225,86.9164,64.4207,25.1805,-1.73386e+06
-76.9823,-61.519,86.6561,77.3038,-87.2535,1.81575e+06
-3.92338,-56.92,-56.0616,7.83174,27.9395,711539
-32.8159,-70.6491,-38.5174,-82.7143,-26.5103,678791
-66.3561,-23.7359,10.3796,-22.2369,-43.5064,1.08089e+06
86.6389,24.8758,-72.3725,3.74211,-73.7176,366947
-38.6821,56.2492,54.1357,37.7831,-13.3229,-516827
1.45338,30.035,-35.6587,82.1364,-28.5229,322800
77.9288,-5.3138,-75.4611,32.3284,11.2931,-100184
27.5719,-81.4198,22.826,-34.1972,-30.5934,739603
-25.3218,30.3217,-92.0277,-58.3552,-5.37387,2.23433e+06
34.8034,93.068,22.5751,-68.9232,84.4088,-3.15201e+06
-30.899,-44.9244,-78.257,-26.8311,5.25845,1.60787e+06
-59.1219,58.1426,-91.629,-20.3069,-34.5698,2.67054e+06
60.7701,-26.5669,92.3157,-96.4112,36.5914,-3.2479e+06
41.9363,11.3933,47.0865,-49.5536,-94.0271,1.85878e+06
-97.3936,-41.0665,6.04985,1.05412,-90.7527,4.89068e+06
-40.7093,39.1991,-49.761,-98.4021,82.7072,-1.44145e+06
-50.9101,17.2437,20.3076,-12.7707,16.8022,329758
66.1669,-49.6129,-71.625,44.24,-15.2332,448507
42.7632,-39.6085,-27.8225,66.0134,0.889257,11043.4
44.4255,-25.1455,85.0796,-49.894,41.7804,-2.24247e+06
6.45696,32.1644,54.8553,-47.0782,-51.9102,-142355
68.3636,-56.5138,-19.4153,-71.821,-14.0552,-727432
38.3569,96.8373,49.3255,52.4492,89.9619,-3.89605e+06
-98.952,-6.06335,50.3182,-3.66262,-31.233,2.49008e+06
-7.84822,-66.2654,-10.3722,43.6327,-53.716,884682
-38.47,-17.9321,-60.8605,88.3348,-9.15905,1.0329e+06
23.0307,-71.5659,4.08241,-94.285,80.6754,-1.27925e+06
-92.6884,48.5229,-83.6426,41.306,-87.899,5.80085e+06
-73.579,67.9553,52.9969,-5.46593,50.8555,-124810
-12.443,-14.4355,-1.49155,-18.6715,87.2927,-1.95493e+06
-88.9458,-53.019,55.6117,15.2171,11.8353,1.72415e+06
37.9206,37.514,-22.0993,47.0515,80.2808,-1.69724e+06
-75.4908,-23.3686,-87.945,38.9986,18.9423,3.22888e+06
-81.1425,-21.1378,-56.4001,-43.3838,-7.41789,2.04628e+06
-28.5621,32.2407,-31.0162,50.7069,91.141,-2.08695e+06
0.990614,48.7759,-28.4007,23.286,-62.1181,595570
-46.1648,-83.2827,73.8004,-35.7229,-42.9315,160185
-23.439,-72.1641,-2.11109,57.5574,-31.8654,715340
73.3509,-59.4894,-72.6872,33.1003,22.9244,258030
-91.2229,-42.0441,82.3621,19.5098,96.2988,-1.95934e+06
35.4261,-60.8674,-38.6099,-86.8139,85.8077,-1.66835e+06
-88.9405,-75.2496,-6.08626,-8.85844,9.84675,2.6064e+06
-23.2004,48.0819,43.2543,-95.8779,95.7948,-3.16465e+06
96.7719,10.7684,-56.018,-78.3087,12.7942,-2.21896e+06
94.9837,10.0856,-48.8126,60.5299,51.6406,-2.46935e+06
-43.2502,-88.5972,-14.0768,42.2757,-65.7752,2.0607e+06
-33.3401,-64.3049,26.7972,50.1587,-22.0089,494371
96.595,98.2585,20.6492,72.087,-39.3766,-3.67905e+06
34.3915,52.6261,92.4805,61.929,-2.92846,-2.52158e+06
77.2477,-94.0781,-26.1863,1.42122,46.2329,-394278
-55.8795,54.1857,23.7196,77.9651,-27.1517,428799
-73.8151,-4.60356,-36.2241,9.06969,33.5827,1.17388e+06
-24.111,-73.2776,10.3837,-29.4409,-33.3762,691417
-57.7946,26.4603,27.4916,34.7289,-5.26836,478758
13.9129,-57.7598,-28.4806,-13.5492,-69.4401,1.29465e+06
70.4821,-47.2019,5.39028,83.6276,0.699518,-690864
46.8082,58.2608,24.6837,46.3873,-21.1083,-562128
-19.572,24.6935,-33.4414,37.6511,-96.9571,2.75878e+06
-39.8512,0.645969,-62.2166,61.5303,-55.5726,1.44694e+06
5.58983,-69.8613,6.37183,25.5866,10.6462,481592
-10.6533,20.0448,-55.8455,14.1966,79.1621,-961832
42.8122,-47.2664,99.335,-23.1364,-91.5215,-681139
55.6009,-90.5907,8.71367,-82.1857,74.6564,-816349
48.7704,11.4161,-34.8655,5.57702,-96.2724,2.364e+06
-69.2148,-50.0292,-51.9664,-92.2399,56.2101,810767
-56.9927,-55.9982,52.9439,-77.0341,96.1617,-2.38211e+06
27.9204,93.9963,14.6374,45.6834,-19.5809,-1.19854e+06
-9.75396,27.6443,47.8334,-57.4233,-88.972,1.64787e+06
-88.1115,41.5804,-49.1198,6.67929,-87.3419,4.11989e+06
49.0309,-41.7822,-74.1698,5.41728,7.81611,954101
-90.2218,-93.695,12.5883,36.3431,72.6903,2.13043e+06
7.63029,44.1772,-48.3267,-40.8261,83.3229,-1.51553e+06
-63.7785,-57.7986,45.0259,-93.6938,-68.0852,1.45394e+06
